Volume,Hedging Percent,Firm Yield,Total Reliability,Total Resilience,Total Vulnerability,Total Shortage Cost
0.000000,0.900000,296156.475346,85.714286,80.000000,10846.727695,106355015.510333
0.000000,0.910000,296073.122881,85.714286,80.000000,10622.165682,104951030.573821
0.000000,0.920000,295991.706142,85.714286,80.000000,10398.673178,103634554.498512
0.000000,0.930000,295912.208845,85.714286,80.000000,10176.222372,102405869.110421
0.000000,0.940000,295834.608026,85.714286,80.000000,9954.785831,101265410.965458
0.000000,0.950000,295758.874054,85.714286,80.000000,9734.336492,100213798.798403
0.000000,0.960000,295684.970642,85.714286,80.000000,9514.847670,99251871.807433
0.000000,0.970000,295612.854862,85.714286,80.000000,9296.293047,98380745.832774
0.000000,0.980000,295887.955869,85.714286,80.000000,8818.344194,97610879.323119
0.000000,0.990000,295933.984612,85.714286,80.000000,8612.391496,96930372.047176
0.000000,1.000000,295978.846601,85.714286,80.000000,8407.022099,96347184.798919
1000.000000,0.900000,296156.475346,85.714286,80.000000,10846.727695,106355015.510333
1000.000000,0.910000,296073.122881,85.714286,80.000000,10622.165682,104951030.573821
1000.000000,0.920000,295991.706142,85.714286,80.000000,10398.673178,103634554.498512
1000.000000,0.930000,295912.208845,85.714286,80.000000,10176.222372,102405869.110421
1000.000000,0.940000,295834.608026,85.714286,80.000000,9954.785831,101265410.965458
1000.000000,0.950000,296473.509333,85.714286,80.000000,9476.417972,100236894.028915
1000.000000,0.960000,296256.678865,85.714286,80.000000,9255.286384,99269151.630223
1000.000000,0.970000,296041.636030,85.714286,80.000000,7287.396671,98405203.469940
1000.000000,0.980000,295887.955869,85.714286,80.000000,7072.363210,97618299.162832
1000.000000,0.990000,295933.984612,85.714286,80.000000,6399.289442,96960614.837388
1000.000000,1.000000,295978.846601,85.714286,80.000000,8407.022099,96347184.798919
2000.000000,0.900000,296156.475346,82.857143,83.333333,9624.244190,107739696.008614
2000.000000,0.910000,296073.122881,82.857143,83.333333,7914.469143,106161068.338361
2000.000000,0.920000,297135.122588,82.857143,83.333333,7459.404777,104669638.820160
2000.000000,0.930000,296912.698235,82.857143,83.333333,7215.821008,103234573.737945
2000.000000,0.940000,296692.170361,82.857143,83.333333,6972.949854,101906673.628809
2000.000000,0.950000,296473.509333,82.857143,83.333333,6730.772143,100687497.806242
2000.000000,0.960000,296256.678865,82.857143,83.333333,6489.269009,99579064.421307
2000.000000,0.970000,296041.636030,82.857143,83.333333,5844.762930,98760295.896064
2000.000000,0.980000,295887.955869,82.857143,83.333333,5613.581820,97796531.404275
2000.000000,0.990000,295933.984612,82.857143,83.333333,5391.271646,96988242.845553
2000.000000,1.000000,295978.846601,85.714286,80.000000,8407.022099,96347184.798919
3000.000000,0.900000,297585.745903,82.857143,83.333333,7948.788389,107856688.197544
3000.000000,0.910000,297359.466383,82.857143,83.333333,7703.720641,106210656.334405
3000.000000,0.920000,297135.122588,82.857143,83.333333,7459.404777,104669638.820160
3000.000000,0.930000,296912.698235,82.857143,83.333333,7215.821008,103234573.737945
3000.000000,0.940000,296692.170361,82.857143,83.333333,6972.949854,101906673.628809
3000.000000,0.950000,296473.509333,82.857143,83.333333,6314.025410,101107534.336084
3000.000000,0.960000,296256.678865,82.857143,83.333333,6079.066162,99866499.679526
3000.000000,0.970000,296041.636030,82.857143,83.333333,5844.762930,98760295.896064
3000.000000,0.980000,295887.955869,82.857143,83.333333,5613.581820,97796531.404275
3000.000000,0.990000,295933.984612,82.857143,83.333333,5391.271646,96988242.845553
3000.000000,1.000000,295978.846601,85.714286,80.000000,8407.022099,96347184.798919
4000.000000,0.900000,297624.856836,80.000000,71.428571,7171.230898,105443121.666135
4000.000000,0.910000,297362.013848,80.000000,71.428571,6912.353225,104045711.774214
4000.000000,0.920000,297136.627071,80.000000,71.428571,6281.979117,103681766.894184
4000.000000,0.930000,296913.579407,80.000000,71.428571,6031.866404,102298351.645085
4000.000000,0.940000,296692.645607,80.000000,71.428571,5782.312649,101038014.357844
4000.000000,0.950000,296473.738336,80.000000,71.428571,5533.301570,99903496.446349
4000.000000,0.960000,296256.772590,80.000000,71.428571,5284.817396,98898441.676613
4000.000000,0.970000,296041.665661,80.000000,71.428571,5036.844866,98027841.260364
