Year,Bear River at Idaho-Utah Stateline (ac-ft),Little Bear River Monthly Flow (It),Total Flow to Cutler/BRCC,Resevoir Release (Rt)
1971,99292.56198,7554.192116,55504.7541,47950.56198
1971,91457.85124,6108.196147,97566.04739,91457.85124
1971,114208.2645,8093.283891,137175.6206,129082.3367
1971,141223.1405,14584.09338,155142.5899,140558.4965
1971,174505.7851,14484.79111,187865.7941,173381.003
1971,223299.1736,10116.4924,216575.1133,206458.6209
1971,117441.3223,7393.955235,122127.8315,114733.8762
1971,82143.47107,5673.143647,85361.02409,79687.88044
1971,97666.1157,6658.811903,103065.6504,96406.83846
1971,107960.3306,6997.581454,114643.0927,107645.5113
1971,102406.6116,6328.774604,108735.3862,102406.6116
1971,103735.5372,6738.493144,110474.0303,103735.5372
1972,106928.9256,6674.495453,113603.4211,106928.9256
1972,97785.12397,5185.19119,102970.3152,97785.12397
1972,131266.1157,12282.88698,158423.075,146140.188
1972,127080.9917,13147.36386,139563.7116,126416.3477
1972,153500.8264,13006.08709,165382.1314,152376.0443
1972,113077.686,5986.218076,102223.3514,96237.13331
1972,85840.66116,4879.74613,88012.96121,83133.21508
1972,72583.1405,3978.636246,74106.18611,70127.54986
1972,89890.90909,5203.412491,93835.04433,88631.63184
1972,74872.06612,6383.790575,80941.03738,74557.2468
1972,87669.42149,5979.478871,93648.90036,87669.42149
1972,91894.21488,5630.791532,97525.00641,91894.21488
1973,95603.30579,5309.992363,100913.2981,95603.30579
1973,84436.36364,4295.798398,88732.16203,84436.36364
1973,96991.73554,5148.587495,117014.3953,111865.8078
1973,100026.4463,10142.83684,109504.6391,99361.80227
1973,82637.35537,17671.25987,99183.83307,81512.5732
1973,27994.71074,5976.720423,45953,39976.27958
1973,62798.67769,3594.5,50966,47371.5
1973,30366.94215,2964.5,47807,44842.5
1973,63459.17355,1657.253298,35537,33879.7467
1973,71077.68595,4528.789854,72795.07619,68266.28633
1973,57988.76033,4704.470399,62693.23073,57988.76033
1973,81254.87603,4585.190542,85840.06657,81254.87603
1974,87074.38017,4671.790914,91746.17108,87074.38017
1974,80925.61983,3717.792396,84643.41223,80925.61983
1974,114029.7521,9223.896255,138127.7206,128903.8243
1974,92449.58678,12621.31646,104406.2592,91784.94277
1974,103299.1736,16025.12896,118199.5203,102174.3914
1974,86677.68595,6407.52524,76244.65855,69837.13331
1974,63917.35537,3707.851595,64917.76088,61209.90929
1974,65877.02479,3359.43776,66780.87192,63421.43416
1974,62144.13223,4002.662759,64887.51774,60884.85498
1974,40248.59504,5301.091355,45234.86708,39933.77573
1974,34127.60331,4850.171755,38977.77506,34127.60331
1974,69310.41322,4559.790901,73870.20412,69310.41322
1975,83504.13223,4371.389287,87875.52152,83504.13223
1975,44304.79339,3597.393395,47902.18678,44304.79339
1975,52395.3719,5474.388763,72743.83294,67269.44418
1975,64448.92562,6466.544843,70250.82645,63784.28161
1975,113057.8512,15055.26977,126988.3388,111933.0691
1975,89099.50413,13625.19939,85884.15088,72258.95149
1975,66267.7686,6936.243402,70496.56592,63560.32251
1975,69867.7686,4625.641833,72037.8198,67412.17796
1975,77464.46281,3848.009958,80053.19552,76205.18556
1975,121130.5785,6037.883623,126853.6428,120815.7592
1975,104132.2314,5245.670027,109377.9014,104132.2314
1975,86808.59504,5383.491612,92192.08665,86808.59504
1976,101752.0661,4911.997094,106664.0632,101752.0661
1976,112661.157,4624.185841,117285.3429,112661.157
1976,93917.35537,5806.586557,114598.0142,108791.4276
1976,120555.3719,11130.64209,131021.37,119890.7279
1976,106750.4132,12325.61611,117951.2472,105625.6311
1976,39689.2562,3322.022227,45953,42630.97777
1976,46335.86777,3479.5,50966,47486.5
1976,34563.96694,2418,47807,45389
1976,48944.13223,3127.49084,35537,32409.50916
1976,59065.78512,4783.183513,44162.17725,39378.99374
1976,66908.42975,4220.880042,71129.30979,66908.42975
1976,69223.1405,4055.989467,73279.12996,69223.1405
1977,73586.77686,3905.991332,77492.76819,73586.77686
1977,36099.17355,3192.596244,39291.7698,36099.17355
1977,33917.35537,3666.895828,52458.32348,48791.42765
1977,28538.18182,3957.841838,31831.37965,27873.53781
1977,42757.68595,2497.429402,44130.33318,41632.90378
1977,44392.06612,3235,45953,42718
1977,50693.55372,568.6746949,50966,50397.32531
1977,34887.27273,448.8134,47807,47358.1866
1977,24452.2314,639.746103,35537,34897.2539
1977,15879.66942,2265.684271,16691,14425.31573
1977,21120,2561.771924,4576,2014.228076
1977,31882.31405,2943.788397,12743.86393,9800.075534
1978,35123.30579,2822.39222,37945.698,35123.30579
1978,36073.38843,3163.994286,39237.38272,36073.38843
1978,66210.24793,8453.994464,89538.31467,81084.32021
1978,103914.0496,12582.28062,115831.6862,103249.4056
1978,105421.4876,10688.83035,114985.5358,104296.7054
1978,48725.95041,5535.625648,45953,40417.37435
1978,42817.19008,3701.5,50966,47264.5
1978,43128.59504,3753.7232,47807,44053.2768
1978,26552.72727,2599.159619,35537,32937.84038
1978,34794.04959,4759.283692,16691,11931.71631
1978,32677.68595,4325.97278,33999.0776,29673.10482
1978,36196.36364,3903.591621,40099.95526,36196.36364
1979,37249.58678,3837.688754,41087.27553,37249.58678
1979,32628.09917,3301.791189,35929.89036,32628.09917
1979,54311.40496,5392.287849,74577.76508,69185.47723
1979,73408.26446,8720.643403,81464.26386,72743.62045
1979,57895.53719,10029.50742,66800.26244,56770.75502
1979,23510.08264,2637.227764,45953,43315.77224
1979,50413.8843,3037.5,50966,47928.5
1979,38060.82645,3068.062607,47807,44738.93739
1979,26352.39669,629.7213903,34933.57926,34303.85786
1979,32757.02479,2712.514586,16691,13978.48541
1979,26929.58678,3585.378268,4576,990.6217322
1979,20316.69421,3574.190787,17247.44893,13673.25814
1980,50715.3719,5886.693118,56602.06502,50715.3719
1980,45256.8595,4882.292567,50139.15207,45256.8595
1980,43525.28926,5012.095839,63411.45737,58399.36153
1980,83022.14876,12790.29339,95147.79814,82357.50475
1980,126664.4628,14123.32638,139663.007,125539.6806
1980,155067.7686,8482.007712,146709.2237,138227.216
1980,63203.30579,4679.053284,65174.91299,60495.8597
1980,75193.38843,3457.5,76195.2978,72737.7978
1980,92201.65289,2626.65865,93569.0343,90942.37565
1980,95500.16529,5245.784508,100431.1305,95185.34598
1980,78608.92562,4665.880456,83274.80608,78608.92562
1980,76097.85124,4422.488532,80520.33977,76097.85124
1981,64032.39669,4126.489077,68158.88577,64032.39669
1981,40026.44628,3653.089384,43679.53567,40026.44628
1981,34609.58678,4725.889798,54209.54885,49483.65905
1981,33540.49587,5733.741284,38609.59314,32875.85186
1981,44522.97521,5443.130532,48841.32357,43398.19303
1981,41984.13223,2045.5,45953,43907.5
1981,46811.90083,3111,50966,47855
1981,50477.35537,3657.491556,47807,44149.50844
1981,26778.84298,483.9146416,35537,35053.08536
1981,29964.29752,0,16691,16691
1981,19525.28926,1166.996002,7272.581659,6105.585656
1981,19041.32231,3775.093597,22816.41591,19041.32231
1982,29980.16529,3603.392672,33583.55796,29980.16529
1982,40266.44628,4935.588845,45202.03513,40266.44628
1982,56027.10744,8559.889808,79461.06952,70901.17971
1982,85077.02479,14056.90287,98469.28365,84412.38078
1982,120515.7025,16985.02971,136375.95,119390.9203
1982,71956.36364,8813.677042,63929.48803,55115.81099
1982,29059.83471,7570.452611,50966,43395.54739
1982,68685.61983,4286.444008,54011.43637,49724.99236
1982,94492.56198,3893.652279,97126.93701,93233.28474
1982,128290.9091,6166.050687,134142.1405,127976.0898
1982,131960.3306,6277.375395,138237.706,131960.3306
1982,118571.9008,6283.188567,124855.0894,118571.9008
1983,112998.3471,5977.792947,118976.1401,112998.3471
1983,106095.8678,4737.491102,110833.3589,106095.8678
1983,156000,9403.290847,180277.3631,170874.0723
1983,144337.1901,11437.87803,155110.4241,143672.5461
1983,163894.2149,19201.29939,181970.7321,162769.4327
1983,245652.8926,17222.48539,246034.8253,228812.3399
1983,211656.1983,10413.15105,219361.9033,208948.7523
1983,145507.438,8084.632469,151136.4799,143051.8474
1983,133872.3967,6453.812483,139066.9319,132613.1194
1983,175259.5041,8801.385644,183746.0705,174944.6848
1983,177500.8264,7616.7707,185117.5971,177500.8264
1983,151993.3884,8849.590022,160842.9785,151993.3884
1984,117084.2975,7520.288095,124604.5856,117084.2975
1984,110657.8512,6288.587916,116946.4392,110657.8512
1984,135490.9091,7381.5913,157746.5727,150364.9814
1984,198743.8017,15160.42931,213239.587,198079.1576
1984,234386.7769,24942.91599,258204.9107,233261.9947
1984,249480.9917,13582.72173,246223.1608,232640.4391
