ResultID,LocalDateTime,Discharge
1,1970-10-01 00:00:00,121131
2,1970-11-01 00:00:00,104132
3,1970-12-01 00:00:00,86809
4,1971-01-01 00:00:00,101752
5,1971-02-01 00:00:00,112661
6,1971-03-01 00:00:00,93917
7,1971-04-01 00:00:00,120555
8,1971-05-01 00:00:00,106750
9,1971-06-01 00:00:00,39689
10,1971-07-01 00:00:00,46336
11,1971-08-01 00:00:00,34564
12,1971-09-01 00:00:00,48944
13,1971-10-01 00:00:00,59066
14,1971-11-01 00:00:00,66908
15,1971-12-01 00:00:00,69223
16,1972-01-01 00:00:00,73587
17,1972-02-01 00:00:00,36099
18,1972-03-01 00:00:00,33917
19,1972-04-01 00:00:00,28538
20,1972-05-01 00:00:00,42758
21,1972-06-01 00:00:00,44392
22,1972-07-01 00:00:00,50694
23,1972-08-01 00:00:00,34887
24,1972-09-01 00:00:00,24452
25,1972-10-01 00:00:00,15880
26,1972-11-01 00:00:00,21120
27,1972-12-01 00:00:00,31882
28,1973-01-01 00:00:00,35123
29,1973-02-01 00:00:00,36073
30,1973-03-01 00:00:00,66210
31,1973-04-01 00:00:00,103914
32,1973-05-01 00:00:00,105421
33,1973-06-01 00:00:00,48726
34,1973-07-01 00:00:00,42817
35,1973-08-01 00:00:00,43129
36,1973-09-01 00:00:00,26553
37,1973-10-01 00:00:00,34794
38,1973-11-01 00:00:00,32678
39,1973-12-01 00:00:00,36196
40,1974-01-01 00:00:00,37250
41,1974-02-01 00:00:00,32628
42,1974-03-01 00:00:00,54311
43,1974-04-01 00:00:00,73408
44,1974-05-01 00:00:00,57896
45,1974-06-01 00:00:00,23510
46,1974-07-01 00:00:00,50414
47,1974-08-01 00:00:00,38061
48,1974-09-01 00:00:00,26352
49,1974-10-01 00:00:00,32757
50,1974-11-01 00:00:00,26930
51,1974-12-01 00:00:00,20317
52,1975-01-01 00:00:00,50715
53,1975-02-01 00:00:00,45257
54,1975-03-01 00:00:00,43525
55,1975-04-01 00:00:00,83022
56,1975-05-01 00:00:00,126664
57,1975-06-01 00:00:00,155068
58,1975-07-01 00:00:00,63203
59,1975-08-01 00:00:00,75193
60,1975-09-01 00:00:00,92202
61,1975-10-01 00:00:00,95500
62,1975-11-01 00:00:00,78609
63,1975-12-01 00:00:00,76098
64,1976-01-01 00:00:00,64032
65,1976-02-01 00:00:00,40026
66,1976-03-01 00:00:00,34610
67,1976-04-01 00:00:00,33540
68,1976-05-01 00:00:00,44523
69,1976-06-01 00:00:00,41984
70,1976-07-01 00:00:00,46812
71,1976-08-01 00:00:00,50477
72,1976-09-01 00:00:00,26779
73,1976-10-01 00:00:00,29964
74,1976-11-01 00:00:00,19525
75,1976-12-01 00:00:00,19041
76,1977-01-01 00:00:00,29980
77,1977-02-01 00:00:00,40266
78,1977-03-01 00:00:00,56027
79,1977-04-01 00:00:00,85077
80,1977-05-01 00:00:00,120516
81,1977-06-01 00:00:00,71956
82,1977-07-01 00:00:00,29060
83,1977-08-01 00:00:00,68686
84,1977-09-01 00:00:00,94493
85,1977-10-01 00:00:00,128291
86,1977-11-01 00:00:00,131960
87,1977-12-01 00:00:00,118572
88,1978-01-01 00:00:00,112998
89,1978-02-01 00:00:00,106096
90,1978-03-01 00:00:00,156000
91,1978-04-01 00:00:00,144337
92,1978-05-01 00:00:00,163894
93,1978-06-01 00:00:00,245653
94,1978-07-01 00:00:00,211656
95,1978-08-01 00:00:00,145507
96,1978-09-01 00:00:00,133872
97,1978-10-01 00:00:00,175260
98,1978-11-01 00:00:00,177501
99,1978-12-01 00:00:00,151993
100,1979-01-01 00:00:00,117084
101,1979-02-01 00:00:00,110658
102,1979-03-01 00:00:00,135491
103,1979-04-01 00:00:00,198744
104,1979-05-01 00:00:00,234387
105,1979-06-01 00:00:00,249481
106,1979-07-01 00:00:00,154413
107,1979-08-01 00:00:00,148582
108,1979-09-01 00:00:00,126466
109,1979-10-01 00:00:00,132555
110,1979-11-01 00:00:00,142370
111,1979-12-01 00:00:00,156912
112,1980-01-01 00:00:00,108754
113,1980-02-01 00:00:00,95365
114,1980-03-01 00:00:00,120694
115,1980-04-01 00:00:00,205983
116,1980-05-01 00:00:00,96912
117,1980-06-01 00:00:00,35115
118,1980-07-01 00:00:00,58445
119,1980-08-01 00:00:00,57015
120,1980-09-01 00:00:00,72456
121,1980-10-01 00:00:00,72208
122,1980-11-01 00:00:00,75999
123,1980-12-01 00:00:00,88245
124,1981-01-01 00:00:00,79974
125,1981-02-01 00:00:00,141957
126,1981-03-01 00:00:00,200688
127,1981-04-01 00:00:00,213858
128,1981-05-01 00:00:00,243987
129,1981-06-01 00:00:00,253666
130,1981-07-01 00:00:00,156536
131,1981-08-01 00:00:00,123967
132,1981-09-01 00:00:00,151418
133,1981-10-01 00:00:00,137663
134,1981-11-01 00:00:00,154969
135,1981-12-01 00:00:00,126843
136,1982-01-01 00:00:00,91101
137,1982-02-01 00:00:00,70925
138,1982-03-01 00:00:00,65447
139,1982-04-01 00:00:00,41280
140,1982-05-01 00:00:00,54157
141,1982-06-01 00:00:00,38003
142,1982-07-01 00:00:00,44688
143,1982-08-01 00:00:00,38586
144,1982-09-01 00:00:00,27636
145,1982-10-01 00:00:00,27969
146,1982-11-01 00:00:00,24861
147,1982-12-01 00:00:00,31333
148,1983-01-01 00:00:00,46471
149,1983-02-01 00:00:00,36389
150,1983-03-01 00:00:00,33499
151,1983-04-01 00:00:00,42879
152,1983-05-01 00:00:00,21941
153,1983-06-01 00:00:00,29466
154,1983-07-01 00:00:00,41605
155,1983-08-01 00:00:00,38860
156,1983-09-01 00:00:00,35462
157,1983-10-01 00:00:00,31412
158,1983-11-01 00:00:00,19527
159,1983-12-01 00:00:00,28407
160,1984-01-01 00:00:00,28130
161,1984-02-01 00:00:00,26787
162,1984-03-01 00:00:00,52497
163,1984-04-01 00:00:00,50452
164,1984-05-01 00:00:00,33620
165,1984-06-01 00:00:00,19835
166,1984-07-01 00:00:00,48577
167,1984-08-01 00:00:00,44856
168,1984-09-01 00:00:00,30768
169,1984-10-01 00:00:00,18680
170,1984-11-01 00:00:00,24490
171,1984-12-01 00:00:00,29556
172,1985-01-01 00:00:00,34629
173,1985-02-01 00:00:00,23462
174,1985-03-01 00:00:00,35171
175,1985-04-01 00:00:00,28413
176,1985-05-01 00:00:00,38340
177,1985-06-01 00:00:00,23821
178,1985-07-01 00:00:00,51761
179,1985-08-01 00:00:00,42385
180,1985-09-01 00:00:00,34332
181,1985-10-01 00:00:00,17393
182,1985-11-01 00:00:00,22564
183,1985-12-01 00:00:00,25783
184,1986-01-01 00:00:00,30889
185,1986-02-01 00:00:00,20192
186,1986-03-01 00:00:00,21566
187,1986-04-01 00:00:00,30169
188,1986-05-01 00:00:00,54060
189,1986-06-01 00:00:00,53929
190,1986-07-01 00:00:00,53675
191,1986-08-01 00:00:00,41024
192,1986-09-01 00:00:00,24928
193,1986-10-01 00:00:00,19902
194,1986-11-01 00:00:00,25486
195,1986-12-01 00:00:00,30992
196,1987-01-01 00:00:00,30573
197,1987-02-01 00:00:00,31815
198,1987-03-01 00:00:00,31980
199,1987-04-01 00:00:00,23982
200,1987-05-01 00:00:00,44424
201,1987-06-01 00:00:00,44701
202,1987-07-01 00:00:00,31930
203,1987-08-01 00:00:00,39310
204,1987-09-01 00:00:00,11435
205,1987-10-01 00:00:00,15364
206,1987-11-01 00:00:00,17736
207,1987-12-01 00:00:00,25079
208,1988-01-01 00:00:00,25319
209,1988-02-01 00:00:00,19519
210,1988-03-01 00:00:00,51646
211,1988-04-01 00:00:00,58328
212,1988-05-01 00:00:00,114875
213,1988-06-01 00:00:00,65228
214,1988-07-01 00:00:00,33572
215,1988-08-01 00:00:00,28352
216,1988-09-01 00:00:00,28405
217,1988-10-01 00:00:00,29453
218,1988-11-01 00:00:00,22812
219,1988-12-01 00:00:00,27703
220,1989-01-01 00:00:00,26483
221,1989-02-01 00:00:00,26479
222,1989-03-01 00:00:00,44255
223,1989-04-01 00:00:00,31418
224,1989-05-01 00:00:00,23643
225,1989-06-01 00:00:00,37720
226,1989-07-01 00:00:00,42906
227,1989-08-01 00:00:00,40994
228,1989-09-01 00:00:00,26323
229,1989-10-01 00:00:00,19206
230,1989-11-01 00:00:00,21735
231,1989-12-01 00:00:00,25137
232,1990-01-01 00:00:00,29056
233,1990-02-01 00:00:00,28998
234,1990-03-01 00:00:00,53365
235,1990-04-01 00:00:00,42458
236,1990-05-01 00:00:00,67860
237,1990-06-01 00:00:00,62501
238,1990-07-01 00:00:00,24135
239,1990-08-01 00:00:00,34019
240,1990-09-01 00:00:00,29098
241,1990-10-01 00:00:00,24922
242,1990-11-01 00:00:00,31428
243,1990-12-01 00:00:00,34017
244,1991-01-01 00:00:00,27568
245,1991-02-01 00:00:00,34663
246,1991-03-01 00:00:00,45144
247,1991-04-01 00:00:00,83863
248,1991-05-01 00:00:00,91946
249,1991-06-01 00:00:00,68569
250,1991-07-01 00:00:00,30357
251,1991-08-01 00:00:00,32608
252,1991-09-01 00:00:00,27552
253,1991-10-01 00:00:00,27632
254,1991-11-01 00:00:00,33443
255,1991-12-01 00:00:00,43390
256,1992-01-01 00:00:00,47782
257,1992-02-01 00:00:00,35927
258,1992-03-01 00:00:00,88358
259,1992-04-01 00:00:00,126426
260,1992-05-01 00:00:00,160026
261,1992-06-01 00:00:00,144119
262,1992-07-01 00:00:00,76959
263,1992-08-01 00:00:00,92469
264,1992-09-01 00:00:00,99650
265,1992-10-01 00:00:00,109188
266,1992-11-01 00:00:00,110380
267,1992-12-01 00:00:00,85587
268,1993-01-01 00:00:00,92945
269,1993-02-01 00:00:00,88066
270,1993-03-01 00:00:00,117302
271,1993-04-01 00:00:00,124959
272,1993-05-01 00:00:00,132139
273,1993-06-01 00:00:00,94943
274,1993-07-01 00:00:00,68136
275,1993-08-01 00:00:00,66452
276,1993-09-01 00:00:00,65742
277,1993-10-01 00:00:00,45027
278,1993-11-01 00:00:00,92541
279,1993-12-01 00:00:00,105739
280,1994-01-01 00:00:00,71101
281,1994-02-01 00:00:00,77699
282,1994-03-01 00:00:00,108298
283,1994-04-01 00:00:00,92053
284,1994-05-01 00:00:00,138288
285,1994-06-01 00:00:00,114883
286,1994-07-01 00:00:00,63021
287,1994-08-01 00:00:00,65572
288,1994-09-01 00:00:00,72020
289,1994-10-01 00:00:00,77252
290,1994-11-01 00:00:00,84893
291,1994-12-01 00:00:00,73571
292,1995-01-01 00:00:00,67097
293,1995-02-01 00:00:00,54793
294,1995-03-01 00:00:00,61993
295,1995-04-01 00:00:00,47651
296,1995-05-01 00:00:00,39626
297,1995-06-01 00:00:00,43200
298,1995-07-01 00:00:00,50469
299,1995-08-01 00:00:00,46963
300,1995-09-01 00:00:00,29220
301,1995-10-01 00:00:00,26981
302,1995-11-01 00:00:00,27540
303,1995-12-01 00:00:00,25289
304,1996-01-01 00:00:00,21354
305,1996-02-01 00:00:00,22766
306,1996-03-01 00:00:00,40977
307,1996-04-01 00:00:00,29641
308,1996-05-01 00:00:00,28994
309,1996-06-01 00:00:00,47431
310,1996-07-01 00:00:00,52322
311,1996-08-01 00:00:00,42379
312,1996-09-01 00:00:00,16625
313,1996-10-01 00:00:00,15671
314,1996-11-01 00:00:00,19216
315,1996-12-01 00:00:00,19271
316,1997-01-01 00:00:00,20029
317,1997-02-01 00:00:00,16463
318,1997-03-01 00:00:00,25630
319,1997-04-01 00:00:00,37404
320,1997-05-01 00:00:00,20160
321,1997-06-01 00:00:00,29687
322,1997-07-01 00:00:00,53869
323,1997-08-01 00:00:00,44830
324,1997-09-01 00:00:00,29171
325,1997-10-01 00:00:00,18022
326,1997-11-01 00:00:00,18674
327,1997-12-01 00:00:00,19813
328,1998-01-01 00:00:00,19073
329,1998-02-01 00:00:00,23288
330,1998-03-01 00:00:00,26614
331,1998-04-01 00:00:00,20874
332,1998-05-01 00:00:00,9699
333,1998-06-01 00:00:00,36591
334,1998-07-01 00:00:00,41595
335,1998-08-01 00:00:00,40457
336,1998-09-01 00:00:00,25059
337,1998-10-01 00:00:00,13740
338,1998-11-01 00:00:00,18972
339,1998-12-01 00:00:00,20497
340,1999-01-01 00:00:00,16520
341,1999-02-01 00:00:00,17530
342,1999-03-01 00:00:00,37599
343,1999-04-01 00:00:00,26620
344,1999-05-01 00:00:00,16090
345,1999-06-01 00:00:00,17905
346,1999-07-01 00:00:00,31640
347,1999-08-01 00:00:00,30071
348,1999-09-01 00:00:00,12684
349,1999-10-01 00:00:00,21503
350,1999-11-01 00:00:00,19063
351,1999-12-01 00:00:00,22312
352,2000-01-01 00:00:00,23248
353,2000-02-01 00:00:00,21219
354,2000-03-01 00:00:00,40659
355,2000-04-01 00:00:00,74245
356,2000-05-01 00:00:00,102466
357,2000-06-01 00:00:00,68237
358,2000-07-01 00:00:00,28665
359,2000-08-01 00:00:00,30738
360,2000-09-01 00:00:00,23510
361,2000-10-01 00:00:00,26305
362,2000-11-01 00:00:00,25260
363,2000-12-01 00:00:00,28467
364,2001-01-01 00:00:00,38987
365,2001-02-01 00:00:00,29038
366,2001-03-01 00:00:00,55853
367,2001-04-01 00:00:00,121428
368,2001-05-01 00:00:00,90662
369,2001-06-01 00:00:00,29254
370,2001-07-01 00:00:00,22606
371,2001-08-01 00:00:00,30278
372,2001-09-01 00:00:00,25960
373,2001-10-01 00:00:00,
374,2001-11-01 00:00:00,
375,2001-12-01 00:00:00,
376,2002-01-01 00:00:00,
377,2002-02-01 00:00:00,
378,2002-03-01 00:00:00,
379,2002-04-01 00:00:00,
380,2002-05-01 00:00:00,
381,2002-06-01 00:00:00,
382,2002-07-01 00:00:00,
383,2002-08-01 00:00:00,
384,2002-09-01 00:00:00,
385,2002-10-01 00:00:00,
386,2002-11-01 00:00:00,
387,2002-12-01 00:00:00,
388,2003-01-01 00:00:00,
389,2003-02-01 00:00:00,
390,2003-03-01 00:00:00,
391,2003-04-01 00:00:00,
392,2003-05-01 00:00:00,
393,2003-06-01 00:00:00,
394,2003-07-01 00:00:00,
395,2003-08-01 00:00:00,
396,2003-09-01 00:00:00,
397,2003-10-01 00:00:00,
398,2003-11-01 00:00:00,
399,2003-12-01 00:00:00,
