WEAP Run	Reliability	Resilience	Vulnerability
S1_BRCC	97.764228	54.545455	711213341.7
S2_BRCC	97.764228	54.545455	711216552.2
S3_BRCC	97.96748	60	782657713.3
S1_BRMBR	76.829268	23.684211	1111022035
S2_BRMBR	77.235772	24.107143	1061695389
S3_BRMBR	82.723577	29.411765	1045117030
S1_BECMI	97.560976	58.333333	3584.438672
S2_BECMI	79.878049	27.272727	3330.280086
S3_BECMI	85.365854	34.722222	3671.744376
S1_CVA	97.560976	50	14128.80958
S2_CVA	79.878049	27.272727	15652.60178
S3_CVA	85.365854	34.722222	15204.92595
S1_CVN	91.666667	53.658537	164575.8216
S2_CVN	77.642276	24.545455	219041.7887
S3_CVN	82.926829	29.761905	236358.1215
S1_NBECA	98.170732	66.666667	14118.01899
S2_NBECA	99.593496	50	14178.83869
S3_NBECA	99.593496	50	14178.83869
S1_SCE	78.455285	28.301887	101338841
S2_SCE	79.674797	27	165505087.7
S3_SCE	84.95935	33.783784	174477132.3
S1_SCN	100	0	NaN
S2_SCN	100	0	NaN
S3_SCN	100	0	NaN
S1_WF	100	0	NaN
S2_WF	100	0	NaN
S3_WF	100	0	NaN
S1_WBP	2.439024	0.208333	139675401.3
S2_WBP	2.439024	0.208333	125913745.8
S3_WBP	2.439024	0.208333	139676565.3
