Date,Bear River Canal Company,Bird Refuge,Cache Valley New
Oct-65,0,0,254089.0271
Nov-65,0,0,68051.36277
Dec-65,0,0,68051.36277
Jan-66,0,0,68051.36277
Feb-66,0,0,68051.36277
Mar-66,0,0,68051.36277
Apr-66,0,0,254089.0271
May-66,0,0,254089.0271
Jun-66,1469026499,1794846606,254089.0271
Jul-66,1914247189,1945231995,254089.0271
Aug-66,1818118195,1691805366,254089.0271
Sep-66,692917904.4,2212508684,254089.0271
Oct-66,0,437840631.7,0
Nov-66,0,0,0
Dec-66,0,0,0
Jan-67,0,0,0
Feb-67,0,0,0
Mar-67,0,0,0
Apr-67,0,0,0
May-67,0,0,0
Jun-67,0,0,0
Jul-67,0,0,0
Aug-67,0,0,0
Sep-67,0,0,0
Oct-67,0,0,0
Nov-67,0,0,0
Dec-67,0,0,0
Jan-68,0,0,0
Feb-68,0,0,0
Mar-68,0,0,0
Apr-68,0,0,0
May-68,0,0,0
Jun-68,0,0,0
Jul-68,0,1007126832,229969.1097
Aug-68,0,450309428.3,0
Sep-68,0,1522138027,81788.76813
Oct-68,0,0,0
Nov-68,0,0,0
Dec-68,0,0,0
Jan-69,0,0,0
Feb-69,0,0,0
Mar-69,0,0,0
Apr-69,0,0,0
May-69,0,0,0
Jun-69,0,12852561.07,0
Jul-69,0,1064026671,131229.3015
Aug-69,0,1375583714,0
Sep-69,0,1585758282,40859.0694
Oct-69,0,0,0
Nov-69,0,0,0
Dec-69,0,0,0
Jan-70,0,0,0
Feb-70,0,0,0
Mar-70,0,0,0
Apr-70,0,0,0
May-70,0,0,0
Jun-70,0,0,0
Jul-70,0,1334300833,230604.7737
Aug-70,0,1335324994,0
Sep-70,0,1306468532,0
Oct-70,0,0,0
Nov-70,0,0,0
Dec-70,0,0,0
Jan-71,0,0,0
Feb-71,0,0,0
Mar-71,0,0,0
Apr-71,0,0,0
May-71,0,0,0
Jun-71,0,0,0
Jul-71,0,0,0
Aug-71,0,0,0
Sep-71,0,0,0
Oct-71,0,0,0
Nov-71,0,0,0
Dec-71,0,0,0
Jan-72,0,0,0
Feb-72,0,0,0
Mar-72,0,0,0
Apr-72,0,0,0
May-72,0,0,0
Jun-72,0,0,0
Jul-72,0,0,0
Aug-72,0,0,0
Sep-72,0,0,0
Oct-72,0,0,0
Nov-72,0,0,0
Dec-72,0,0,0
Jan-73,0,0,0
Feb-73,0,0,0
Mar-73,0,0,0
Apr-73,0,0,0
May-73,0,0,0
Jun-73,0,0,0
Jul-73,0,160898424.4,0
Aug-73,0,1327701016,234736.5897
Sep-73,0,0,0
Oct-73,0,0,0
Nov-73,0,0,0
