Bear River Canal Company,Bird Refuge,Box Elder County MandI,Cache Valley Agriculture,Cache Valley New,Dummy Junction,New Box Elder County Agriculture,South Cache Existing,South Cache New,Wasatch Front,Weber Basin Project
0,0,0,0,254089.0271,0,0,0,0,0,430790870.7
0,0,0,0,68051.36277,0,0,0,0,0,70601964.58
0,0,0,0,68051.36277,0,0,0,0,0,10345502.25
0,0,0,0,68051.36277,0,0,0,0,0,9234820.662
0,0,0,0,68051.36277,0,0,0,0,0,8276380.608
0,0,0,0,68051.36277,0,0,0,0,0,9975227.965
0,0,0,0,254089.0271,0,0,0,0,0,9430640.489
0,0,0,5685.661342,254089.0271,0,0,0,0,0,19492071.56
1469026499,1794846606,3672.725339,12783.90935,254089.0271,0,0,278321951.4,0,0,31241261.17
1914247189,1945231995,3672.725339,26132.85337,254089.0271,0,20553.13603,267387471.1,0,0,160535001.1
1818118195,1691805366,3672.725339,18045.79469,254089.0271,0,7804.541345,243959579.9,0,0,153244005.7
692917904.4,2212508684,3672.725339,7592.653345,254089.0271,0,0,93417817.25,0,0,224706306.2
0,437840631.7,0,0,0,0,0,0,0,0,230689281.7
0,0,0,0,0,0,0,0,0,0,32835471.17
0,0,0,0,0,0,0,0,0,0,8807901.656
0,0,0,0,0,0,0,0,0,0,8141407.951
0,0,0,0,0,0,0,0,0,0,7200519.286
0,0,0,0,0,0,0,0,0,0,8664029.704
0,0,0,0,0,0,0,0,0,0,8542052.845
0,0,0,0,0,0,0,0,0,0,17633036.87
0,0,0,0,0,0,0,0,0,0,28475981.51
0,0,0,0,0,0,0,0,0,0,119036383.1
0,0,0,0,0,0,0,0,0,0,104941593.3
0,0,0,0,0,0,0,0,0,0,216336200.4
0,0,0,0,0,0,0,0,0,0,240594763.2
0,0,0,0,0,0,0,0,0,0,4338618.695
0,0,0,0,0,0,0,0,0,0,9243402.126
0,0,0,0,0,0,0,0,0,0,9077917.598
0,0,0,0,0,0,0,0,0,0,7875700.399
0,0,0,0,0,0,0,0,0,0,8773010.766
0,0,0,0,0,0,0,0,0,0,8607243.72
0,0,0,0,0,0,0,0,0,0,16692501.35
0,0,0,0,0,0,0,0,0,0,28721171.24
0,865885116.1,3319.578672,26062.22404,228697.7817,0,0,235306850.9,0,0,133759526.8
0,347538450.9,3319.578672,17975.16536,228697.7817,0,0,121453530.8,0,0,119326457.8
0,1411353092,3319.578672,7522.024012,228697.7817,0,0,277538883.9,0,0,215778652.5
0,0,0,0,0,0,0,0,0,0,211505471.9
0,0,0,0,0,0,0,0,0,0,4822005.853
0,0,0,0,0,0,0,0,0,0,9439433.841
0,0,0,0,0,0,0,0,0,0,8925499.497
0,0,0,0,0,0,0,0,0,0,7657879.535
0,0,0,0,0,0,0,0,0,0,8511646.917
0,0,0,0,0,0,0,0,0,0,8672646.483
0,0,0,0,0,0,0,0,0,0,16771888.72
0,0,0,0,0,0,0,0,0,0,28344434.38
0,937503260.3,3319.578672,26062.22404,228697.7817,0,0,216764249.5,0,0,117754319.5
0,1309615916,3319.578672,18010.48003,228697.7817,0,0,218710440.8,0,0,133532912.6
0,1545972602,3319.578672,7522.024012,228697.7817,0,0,105791758.6,0,0,214365182.9
0,0,0,0,0,0,0,0,0,0,86130882.97
0,0,0,0,0,0,0,0,0,0,4356099.455
0,0,0,0,0,0,0,0,0,0,9831391.327
0,0,0,0,0,0,0,0,0,0,8685960.112
0,0,0,0,0,0,0,0,0,0,8224114.901
0,0,0,0,0,0,0,0,0,0,9339281.446
0,0,0,0,0,0,0,0,0,0,9173761.604
0,0,0,0,0,0,0,0,0,0,17720334.73
0,0,0,0,0,0,0,0,0,0,28465281.17
0,1213522695,3319.578672,26062.22404,228697.7817,0,0,278289638.4,0,0,129061228.2
0,1266743911,3319.578672,18010.48003,228697.7817,0,0,214534764,0,0,135076022.2
0,1269882537,3319.578672,7522.024012,228697.7817,0,0,72807471.46,0,0,194530135.3
0,0,0,0,0,0,0,0,0,0,209571428.8
0,0,0,0,0,0,0,0,0,0,5357835.291
0,0,0,0,0,0,0,0,0,0,9417750.636
0,0,0,0,0,0,0,0,0,0,9317492.297
0,0,0,0,0,0,0,0,0,0,8028189.13
0,0,0,0,0,0,0,0,0,0,9099812.691
0,0,0,0,0,0,0,0,0,0,10153814.23
0,0,0,0,0,0,0,0,0,0,18047136.65
0,0,0,0,0,0,0,0,0,0,28978932.99
0,0,0,0,0,0,0,0,0,0,109683788.1
0,0,0,0,0,0,0,0,0,0,256820122.1
0,0,0,0,0,0,0,0,0,0,597834965.3
0,0,0,0,0,0,0,0,0,0,115560113.3
0,0,0,0,0,0,0,0,0,0,4220985.54
0,0,0,0,0,0,0,0,0,0,8807831.027
0,0,0,0,0,0,0,0,0,0,8664100.333
0,0,0,0,0,0,0,0,0,0,8158782.767
0,0,0,0,0,0,0,0,0,0,8598803.515
0,0,0,0,0,0,0,0,0,0,9347827.596
0,0,0,0,0,0,0,0,0,0,17370437.01
0,0,0,0,0,0,0,0,0,0,29266959.42
0,0,0,0,0,0,0,0,0,0,186935998.8
0,0,0,0,0,0,0,0,0,0,386254944.2
0,0,0,0,0,0,0,0,0,0,531815078.7
0,0,0,0,0,0,0,0,0,0,118492360.7
0,0,0,0,0,0,0,0,0,0,5410100.998
0,0,0,0,0,0,0,0,0,0,9679079.17
0,0,0,0,0,0,0,0,0,0,9382824.431
0,0,0,0,0,0,0,0,0,0,8137064.247
0,0,0,0,0,0,0,0,0,0,9295703.148
0,0,0,0,0,0,0,0,0,0,10030954.51
0,0,0,0,0,0,0,0,0,0,17902629.04
0,0,0,0,0,0,0,0,0,0,28906184.78
0,0,0,0,202741.5016,0,0,152109168.9,0,0,118222521.3
0,1252547415,3319.578672,18010.48003,228697.7817,0,0,232347517.2,0,0,326878629.3
0,0,0,0,0,0,0,0,0,0,552675911.5
0,0,0,0,0,0,0,0,0,0,193683713.4
0,0,0,0,0,0,0,0,0,0,5444991.888
0,0,0,0,0,0,0,0,0,0,9591993.202
0,0,0,0,0,0,0,0,0,0,9339210.817
0,0,0,0,0,0,0,0,0,0,8311306.813
0,0,0,0,0,0,0,0,0,0,9469945.713
0,0,0,0,0,0,0,0,0,0,10044974.43
0,0,0,0,0,0,0,0,0,0,18068678.6
0,0,0,0,0,0,0,0,0,0,28941464.13
0,0,0,0,0,0,0,0,0,0,45682982.24
0,0,0,0,0,0,0,0,0,0,155656950.9
0,0,0,0,0,0,0,0,0,0,269449070.7
0,0,0,0,0,0,0,0,0,0,54024518.41
0,0,0,0,0,0,0,0,0,0,5580070.489
0,0,0,0,0,0,0,0,0,0,10071071.97
0,0,0,0,0,0,0,0,0,0,9469981.028
0,0,0,0,0,0,0,0,0,0,8485514.064
0,0,0,0,0,0,0,0,0,0,9513524.012
0,0,0,0,0,0,0,0,0,0,10192660.37
0,0,0,0,0,0,0,0,0,0,18211243.91
0,0,0,0,0,0,0,0,0,0,261926305.1
0,0,0,0,0,0,0,0,0,0,223011625.9
0,0,0,0,0,0,0,0,0,0,634198689.5
0,0,0,0,0,0,0,0,0,0,602443599.9
0,0,0,0,0,0,0,0,0,0,77745909.77
0,0,0,0,0,0,0,0,0,0,7592512.086
0,0,0,0,0,0,0,0,0,0,9679079.17
0,0,0,0,0,0,0,0,0,0,9252160.164
0,0,0,0,0,0,0,0,0,0,8441900.45
0,0,0,0,0,0,0,0,0,0,9382824.431
0,0,0,0,0,0,0,0,0,0,10262689.35
0,0,0,0,0,0,0,0,0,0,380971446.3
0,0,0,0,0,0,0,0,0,0,895237007.3
0,567758699.7,3319.578672,26026.90937,228697.7817,0,0,272623435.5,0,0,751518991.7
0,484401077.5,3319.578672,17975.16536,228697.7817,0,0,189441468.4,0,0,620086489.6
0,0,0,0,0,0,0,0,0,0,519483585.6
0,0,0,0,0,0,0,0,0,0,185791627
0,0,0,0,0,0,0,0,0,0,76145625.64
0,0,0,0,0,0,0,0,0,0,9809743.437
0,0,0,0,0,0,0,0,0,0,9600609.98
0,0,0,0,0,0,0,0,0,0,8485514.064
0,0,0,0,0,0,0,0,0,0,9426402.729
0,0,0,0,0,0,0,0,0,0,9914522.053
0,304926184.9,3284.264005,5544.402675,228697.7817,0,0,122566543.2,0,0,17929291.61
0,983015390.1,3319.578672,12713.28002,228697.7817,0,0,253511844.1,0,0,29102393.07
0,1318583829,3319.578672,26062.22404,228697.7817,0,0,269733424.4,0,0,202841230.3
0,1302941444,3319.578672,18010.48003,228697.7817,0,0,123952749.8,0,0,498207452.4
0,1010284422,3319.578672,7486.709345,228697.7817,0,0,19549387.26,0,0,654550072.9
0,889515219.1,0,0,0,0,0,0,0,0,259651969.9
0,0,0,0,0,0,0,0,0,0,5635020.11
0,0,0,0,0,0,0,0,0,0,9940407.703
0,0,0,0,0,0,0,0,0,0,9252195.478
0,0,0,0,0,0,0,0,0,0,8529021.733
0,0,0,0,0,0,0,0,0,0,9252195.478
0,0,0,0,0,0,0,0,0,0,10088764.62
0,0,0,0,0,0,0,0,0,0,17929432.87
0,0,0,0,0,0,0,0,0,0,221097394.4
0,1038503207,3319.578672,26062.22404,228697.7817,0,0,290085796.6,0,0,184509987.1
0,1225001975,3319.578672,18010.48003,228697.7817,0,0,352077621.6,0,0,439334265.5
0,1144689572,3319.578672,7522.024012,228697.7817,0,0,82623642.16,0,0,532194358.3
0,0,0,0,0,0,0,0,0,0,264866074.5
0,0,0,0,0,0,0,0,0,0,5635020.11
0,0,0,0,0,0,0,0,0,0,9896864.719
0,0,0,0,0,0,0,0,0,0,9426402.729
0,0,0,0,0,0,0,0,0,0,8616178.331
0,0,0,0,0,0,0,0,0,0,9426438.044
0,0,0,0,0,0,0,0,0,0,9958206.295
0,0,0,0,0,0,0,0,0,0,18103816.69
0,125398708.8,3319.578672,12677.96535,228697.7817,0,0,203269385.3,0,0,29368277.19
0,1174005583,3319.578672,26062.22404,228697.7817,0,0,238035014.9,0,0,185491417
0,1287155788,3319.578672,18010.48003,228697.7817,0,0,245288435.5,0,0,542618294.4
0,1552929591,3319.578672,7522.024012,228697.7817,0,0,210829584.5,0,0,661794664.9
0,0,0,0,0,0,0,0,0,0,239557783.3
0,0,0,0,0,0,0,0,0,0,5635020.11
0,0,0,0,0,0,0,0,0,0,10071071.97
0,0,0,0,0,0,0,0,0,0,9469945.713
0,0,0,0,0,0,0,0,0,0,8572600.032
0,0,0,0,0,0,0,0,0,0,9557066.996
0,0,0,0,0,0,0,0,0,0,10132095.71
0,0,0,0,0,0,0,0,0,0,18291372.89
0,0,0,0,0,0,0,0,0,0,29235458.73
0,0,0,0,0,0,0,0,0,0,431440060.3
0,0,0,0,0,0,0,0,0,0,760083999.1
0,0,0,0,0,0,0,0,0,0,607583685
0,0,0,0,0,0,0,0,0,0,201878340.6
0,0,0,0,0,0,0,0,0,0,32254580.22
0,0,0,0,0,0,0,0,0,0,9940407.703
0,0,0,0,0,0,0,0,0,0,9252195.478
0,0,0,0,0,0,0,0,0,0,8485443.435
0,0,0,0,0,0,0,0,0,0,9600645.295
0,0,0,0,0,0,0,0,0,0,9958135.666
0,0,0,0,0,0,0,0,0,0,17973152.43
0,0,0,0,0,0,0,0,0,0,29063087.85
0,783813830.7,3319.578672,26026.90937,228697.7817,0,0,243757615.4,0,0,205877373.4
0,686806454.1,3319.578672,17975.16536,228697.7817,0,0,362898282.7,0,0,284481676.8
0,1523724362,3319.578672,7522.024012,228697.7817,0,0,92408418.13,0,0,632219267.1
0,0,0,0,0,0,0,0,0,0,6071756.593
0,0,0,0,0,0,0,0,0,0,5388417.792
0,0,0,0,0,0,0,0,0,0,9679114.484
0,0,0,0,0,0,0,0,0,0,9382789.116
0,0,0,0,0,0,0,0,0,0,8311306.813
0,0,0,0,0,0,0,0,0,0,9208617.18
0,0,0,0,0,0,0,0,0,0,10001396.13
0,0,0,0,0,0,0,0,0,0,17990280.04
0,0,0,0,0,0,0,0,0,0,29193964
0,0,0,0,0,0,0,0,0,0,45823181.47
0,0,0,0,0,0,0,0,0,0,227770736.4
0,0,0,0,0,0,0,0,0,0,29254917.11
0,0,0,0,0,0,0,0,0,0,6120173.002
0,0,0,0,0,0,0,0,0,0,5214175.227
0,0,0,0,0,0,0,0,0,0,9940548.962
0,0,0,0,0,0,0,0,0,0,9513524.012
0,0,0,0,0,0,0,0,0,0,8441935.765
0,0,0,0,0,0,0,0,0,0,9295738.462
0,0,0,0,0,0,0,0,0,0,10132378.23
0,0,0,0,0,0,0,0,0,0,18292079.18
0,0,0,0,0,0,0,0,0,0,29032858.49
0,0,0,0,0,0,0,0,0,0,219163386.7
0,0,0,0,0,0,0,0,0,0,210927582.7
0,0,0,0,0,0,0,0,0,0,246566755.8
0,0,0,0,0,0,0,0,0,0,6054840.868
0,0,0,0,0,0,0,0,0,0,5218589.56
0,0,0,0,0,0,0,0,0,0,9809672.807
0,0,0,0,0,0,0,0,0,0,9208652.494
0,0,0,0,0,0,0,0,0,0,8616143.016
0,0,0,0,0,0,0,0,0,0,9469981.028
0,0,0,0,0,0,0,0,0,0,9914380.794
0,0,0,0,0,0,0,0,0,0,18117942.56
0,0,0,0,0,0,0,0,0,0,28977979.5
0,0,0,0,0,0,0,0,0,0,198154267.7
0,0,0,0,0,0,0,0,0,0,674304391.1
0,0,0,0,0,0,0,0,0,0,651400675.6
0,0,0,0,0,0,0,0,0,0,6033051.719
0,0,0,0,0,0,0,0,0,0,5519046.745
0,0,0,0,0,0,0,0,0,0,9766200.452
0,0,0,0,0,0,0,0,0,0,9252195.478
0,0,0,0,0,0,0,0,0,0,8311589.33
0,0,0,0,0,0,0,0,0,0,9339281.446
0,0,0,0,0,0,0,0,0,0,9914380.794
0,0,0,0,0,0,0,0,0,0,18260366.61
0,0,0,0,0,0,0,0,0,0,29250573.41
0,0,0,0,0,0,0,0,0,0,198407014.8
0,0,0,0,0,0,0,0,0,0,522976453.3
0,0,0,0,0,0,0,0,0,0,659972993.1
0,0,0,0,0,0,0,0,0,0,6011333.199
0,0,0,0,0,0,0,0,0,0,5305604.899
0,0,0,0,0,0,0,0,0,0,9809708.122
0,0,0,0,0,0,0,0,0,0,9339281.446
0,0,0,0,0,0,0,0,0,0,8354849.797
0,0,0,0,0,0,0,0,0,0,9600645.295
0,0,0,0,0,0,0,0,0,0,9914310.165
0,0,0,0,0,0,0,0,0,0,17902946.87
0,0,0,0,0,0,0,0,0,0,235180141.9
0,0,0,0,0,0,0,0,0,0,452814686.1
0,0,0,0,0,0,0,0,0,0,848775866.4
0,0,0,0,0,0,0,0,0,0,816845933.9
0,0,0,0,0,0,0,0,0,0,306343927.5
0,0,0,0,0,0,0,0,0,0,5547898.827
0,0,0,0,0,0,0,0,0,0,10027528.99
0,0,0,0,0,0,0,0,0,0,9469945.713
0,0,0,0,0,0,0,0,0,0,8485514.064
0,0,0,0,0,0,0,0,0,0,9513524.012
0,0,0,0,0,0,0,0,0,0,10306302.97
0,0,0,0,0,0,0,0,0,0,18144499.19
0,0,0,0,0,0,0,0,0,0,1103710362
0,178591072.4,3319.578672,26026.90937,228697.7817,0,0,119635637.7,0,0,1053646842
0,0,0,0,0,0,0,0,0,0,909390278.2
0,433101509.4,3319.578672,7451.394678,228697.7817,0,0,171603641.8,0,0,504938886.9
0,0,0,0,0,0,0,0,0,0,6158842.562
0,0,0,0,0,0,0,0,0,0,14477706.71
0,0,0,0,0,0,0,0,0,0,10071071.97
0,0,0,0,0,0,0,0,0,0,9513524.012
0,0,0,0,0,0,0,0,0,0,8529057.048
0,0,0,0,0,0,0,0,0,0,9252195.478
0,0,0,0,0,0,0,0,0,0,10001537.39
0,0,0,0,0,0,0,0,0,0,18103569.49
0,992267832.8,3319.578672,12713.28002,228697.7817,0,0,185969083.2,0,0,212054403
0,801259276,3319.578672,26062.22404,228697.7817,0,0,214217002.6,0,0,414090105.8
0,1135267407,3319.578672,18010.48003,228697.7817,0,0,174649531.8,0,0,871583455.4
0,1428657279,3319.578672,7522.024012,228697.7817,0,0,58261042.4,0,0,435331100.9
0,0,0,0,0,0,0,0,0,0,181439977.2
0,0,0,0,0,0,0,0,0,0,52444646.16
0,0,0,0,0,0,0,0,0,0,10071071.97
0,0,0,0,0,0,0,0,0,0,9557066.996
0,0,0,0,0,0,0,0,0,0,8616178.331
0,0,0,0,0,0,0,0,0,0,9557066.996
0,0,0,0,0,0,0,0,0,0,10158228.57
0,0,0,0,0,0,0,0,0,0,381258943
0,474236986.7,3319.578672,12713.28002,228697.7817,0,0,165037691.8,0,0,258793823.5
0,789464177.4,3319.578672,26062.22404,228697.7817,0,0,177822943.1,0,0,571886242.6
0,884603902.4,3319.578672,18010.48003,228697.7817,0,0,171609963.1,0,0,818775633.2
0,1626242839,3319.578672,7522.024012,228697.7817,0,0,133633382.8,0,0,682277100.9
0,203492503.4,3248.949338,0,228697.7817,0,0,1662720.453,0,0,145215463.4
0,0,0,0,0,0,0,0,0,0,52152770.44
0,0,0,0,0,0,0,0,0,0,9983950.687
0,0,0,0,0,0,0,0,0,0,9382824.431
0,0,0,0,0,0,0,0,0,0,8572600.032
0,0,0,0,0,0,0,0,0,0,9557066.996
0,0,0,0,0,0,0,0,0,0,10202866.31
0,539450886.6,3284.264005,5579.717342,228697.7817,0,0,95114898.87,0,0,18091774.39
0,1125545385,3319.578672,12713.28002,228697.7817,0,0,166326006.1,0,0,29279072.35
0,1191027253,3319.578672,26062.22404,228697.7817,0,0,226960088.2,0,0,217188802.4
0,1079117087,3319.578672,18010.48003,228697.7817,0,0,195426951.3,0,0,257645425.9
0,1658661703,3319.578672,7522.024012,228697.7817,0,0,32525337.77,0,0,523961520.6
0,314027410.2,0,0,0,0,0,0,0,0,231163698.9
0,0,0,0,0,0,0,0,0,0,5460777.544
0,0,0,0,0,0,0,0,0,0,9896829.405
0,0,0,0,0,0,0,0,0,0,9382824.431
0,0,0,0,0,0,0,0,0,0,8616143.016
0,0,0,0,0,0,0,0,0,0,9600645.295
0,0,0,0,0,0,0,0,0,0,10147881.37
0,0,0,0,0,0,0,0,0,0,430852000.4
0,0,0,0,0,0,0,0,0,0,744523262.2
0,988709527,3319.578672,26062.22404,228697.7817,0,0,206641653.4,0,0,738297992.8
0,1393823845,3319.578672,18010.48003,228697.7817,0,0,179104512.3,0,0,757931040.5
0,1190918943,3319.578672,7522.024012,228697.7817,0,0,94153174.55,0,0,424079530.2
0,843641467,0,0,0,0,0,0,0,0,49165644.04
0,0,0,0,0,0,0,0,0,0,16633949.63
0,0,0,0,0,0,0,0,0,0,10027528.99
0,0,0,0,0,0,0,0,0,0,9252195.478
0,0,0,0,0,0,0,0,0,0,8572564.717
0,0,0,0,0,0,0,0,0,0,9339316.761
0,0,0,0,0,0,0,0,0,0,10044974.43
0,1418115109,3284.264005,5615.032009,228697.7817,0,0,136813362.6,0,0,18010797.86
0,1047076196,3319.578672,12713.28002,228697.7817,0,0,167889774.9,0,0,28993835.78
107379329.5,2039635162,3319.578672,26132.85337,228697.7817,0,0,135001119.8,0,0,236417426.6
0,1469414783,3319.578672,18010.48003,228697.7817,0,0,118128054.6,0,0,300751355.6
604384034.9,2274168093,3319.578672,7592.653345,228697.7817,0,0,70398128.32,0,0,549521181.7
0,1295704516,0,0,37857.32273,0,0,0,0,0,158640687.1
0,0,0,0,0,0,0,0,0,0,5504355.843
0,0,0,0,0,0,0,0,0,0,9983950.687
0,0,0,0,0,0,0,0,0,0,9600645.295
0,0,0,0,0,0,0,0,0,0,8659756.629
