Bear River Canal Company,Bird Refuge,Box Elder County MandI,Cache Valley Agriculture,Cache Valley New,Dummy Junction,New Box Elder County Agriculture,South Cache Existing,South Cache New,Wasatch Front,Weber Basin Project
0,0,0,0,254089.0271,0,0,0,0,0,430790870.7
0,0,0,0,68051.36277,0,0,0,0,0,70601964.58
0,0,0,0,68051.36277,0,0,0,0,0,10345502.25
0,0,0,0,68051.36277,0,0,0,0,0,9234820.662
0,0,0,0,68051.36277,0,0,0,0,0,8276380.608
0,0,0,0,68051.36277,0,0,0,0,0,9975227.965
0,0,0,0,254089.0271,0,0,0,0,0,9430640.489
0,0,0,5685.661342,254089.0271,0,0,0,0,0,19492071.56
1469026499,1794846606,3672.725339,12783.90935,254089.0271,0,0,278321951.4,0,0,31241261.17
1914247189,1945231995,3672.725339,26132.85337,254089.0271,0,20553.13603,267387471.1,0,0,160535001.1
1818118195,1691805366,3672.725339,18045.79469,254089.0271,0,7804.541345,243959579.9,0,0,153244005.7
692917904.4,2212508684,3672.725339,7592.653345,254089.0271,0,0,93417817.25,0,0,224706306.2
0,524961914.5,0,0,0,0,0,0,0,0,256494203.1
0,0,0,0,0,0,0,0,0,0,36564205.57
0,0,0,0,0,0,0,0,0,0,9931720.295
0,0,0,0,0,0,0,0,0,0,9212996.198
0,0,0,0,0,0,0,0,0,0,8167682.063
0,0,0,0,0,0,0,0,0,0,9735829.839
0,0,0,0,0,0,0,0,0,0,9692074.967
0,0,0,0,0,0,0,0,0,0,19671611.32
0,0,0,0,0,0,0,0,0,0,31743011.96
0,0,0,0,0,0,0,0,0,0,132343973.7
0,0,0,0,0,0,0,0,0,0,116689723.5
0,0,0,0,0,0,0,0,0,0,240451032.5
0,0,0,0,0,0,0,0,0,0,267392874.3
0,0,0,0,0,0,0,0,0,0,4965877.805
0,0,0,0,0,0,0,0,0,0,10367220.77
0,0,0,0,0,0,0,0,0,0,10149470.53
0,0,0,0,0,0,0,0,0,0,8842721.918
0,0,0,0,0,0,0,0,0,0,9844599.013
0,0,0,0,0,0,0,0,0,0,9757265.842
0,0,0,0,0,0,0,0,0,0,18731075.8
0,0,0,0,0,0,0,0,0,0,31988166.37
0,0,0,0,0,0,0,0,0,0,148678843.4
0,119087871.9,3672.725339,17939.85069,254089.0271,0,0,134944687,0,0,132712482.2
0,1396556247,3672.725339,7522.024012,254089.0271,0,0,308371060,0,0,239893413.9
0,0,0,0,0,0,0,0,0,0,235123709.1
0,0,0,0,0,0,0,0,0,0,5449264.963
0,0,0,0,0,0,0,0,0,0,10563287.8
0,0,0,0,0,0,0,0,0,0,9997052.429
0,0,0,0,0,0,0,0,0,0,8624936.368
0,0,0,0,0,0,0,0,0,0,9583235.164
0,0,0,0,0,0,0,0,0,0,9822633.29
0,0,0,0,0,0,0,0,0,0,18810498.49
0,0,0,0,0,0,0,0,0,0,31611429.51
0,0,0,0,0,0,0,0,0,0,130992198.9
0,1213842540,3672.725339,18010.48003,254089.0271,0,0,243015089.2,0,0,148517596.6
0,1519310028,3672.725339,7522.024012,254089.0271,0,0,117555851,0,0,238218615.8
0,0,0,0,0,0,0,0,0,0,95735871.97
0,0,0,0,0,0,0,0,0,0,4983358.565
0,0,0,0,0,0,0,0,0,0,10955245.28
0,0,0,0,0,0,0,0,0,0,9757548.359
0,0,0,0,0,0,0,0,0,0,9191136.42
0,0,0,0,0,0,0,0,0,0,10410834.38
0,0,0,0,0,0,0,0,0,0,10323748.41
0,0,0,0,0,0,0,0,0,0,19758944.49
0,0,0,0,0,0,0,0,0,0,31732276.3
0,0,0,0,200905.139,0,0,100419232.4,0,0,143427305.3
0,1279916282,3672.725339,18010.48003,254089.0271,0,0,238369374.1,0,0,150130382.1
0,1280088476,3672.725339,7522.024012,254089.0271,0,0,80909574.18,0,0,216223016.9
0,0,0,0,0,0,0,0,0,0,232928302.2
0,0,0,0,0,0,0,0,0,0,5985094.401
0,0,0,0,0,0,0,0,0,0,10541604.59
0,0,0,0,0,0,0,0,0,0,10389045.23
0,0,0,0,0,0,0,0,0,0,8995210.649
0,0,0,0,0,0,0,0,0,0,10171506.88
0,0,0,0,0,0,0,0,0,0,11303765.73
0,0,0,0,0,0,0,0,0,0,20085746.42
0,0,0,0,0,0,0,0,0,0,32245963.44
0,0,0,0,0,0,0,0,0,0,121919790.4
0,0,0,0,0,0,0,0,0,0,285365002.6
0,0,0,0,0,0,0,0,0,0,664425148.4
0,0,0,0,0,0,0,0,0,0,128506152.3
0,0,0,0,0,0,0,0,0,0,4848244.65
0,0,0,0,0,0,0,0,0,0,9931649.666
0,0,0,0,0,0,0,0,0,0,9735688.58
0,0,0,0,0,0,0,0,0,0,9125804.286
0,0,0,0,0,0,0,0,0,0,9670391.762
0,0,0,0,0,0,0,0,0,0,10497814.4
0,0,0,0,0,0,0,0,0,0,19409046.77
0,0,0,0,0,0,0,0,0,0,32533954.55
0,0,0,0,0,0,0,0,0,0,207731534.7
0,0,0,0,0,0,0,0,0,0,429196413.5
0,0,0,0,0,0,0,0,0,0,590943449.4
0,0,0,0,0,0,0,0,0,0,131721588
0,0,0,0,0,0,0,0,0,0,6037430.737
0,0,0,0,0,0,0,0,0,0,10802897.81
0,0,0,0,0,0,0,0,0,0,10454377.36
0,0,0,0,0,0,0,0,0,0,9104085.766
0,0,0,0,0,0,0,0,0,0,10367256.08
0,0,0,0,0,0,0,0,0,0,11180941.32
0,0,0,0,0,0,0,0,0,0,19941238.8
0,0,0,0,0,0,0,0,0,0,32173215.23
0,0,0,0,0,0,0,0,0,0,131408099.7
0,110612351.9,3672.725339,17939.85069,254089.0271,0,0,258065811.7,0,0,363246873.8
0,0,0,0,0,0,0,0,0,0,614117286.8
0,0,0,0,0,0,0,0,0,0,215232829
0,0,0,0,0,0,0,0,0,0,6072286.313
0,0,0,0,0,0,0,0,0,0,10715811.84
0,0,0,0,0,0,0,0,0,0,10410869.69
0,0,0,0,0,0,0,0,0,0,9278328.332
0,0,0,0,0,0,0,0,0,0,10541569.28
0,0,0,0,0,0,0,0,0,0,11194961.24
0,0,0,0,0,0,0,0,0,0,20107253.05
0,0,0,0,0,0,0,0,0,0,32208459.27
0,0,0,0,0,0,0,0,0,0,50805657.17
0,0,0,0,0,0,0,0,0,0,172976428.9
0,0,0,0,0,0,0,0,0,0,299396579.1
0,0,0,0,0,0,0,0,0,0,60048882.72
0,0,0,0,0,0,0,0,0,0,6207329.599
0,0,0,0,0,0,0,0,0,0,11194925.92
0,0,0,0,0,0,0,0,0,0,10541569.28
0,0,0,0,0,0,0,0,0,0,9452570.897
0,0,0,0,0,0,0,0,0,0,10585112.26
0,0,0,0,0,0,0,0,0,0,11342647.17
0,0,0,0,0,0,0,0,0,0,20249853.67
0,0,0,0,0,0,0,0,0,0,291046178.9
0,0,0,0,0,0,0,0,0,0,247819049.2
0,0,0,0,0,0,0,0,0,0,704713603.4
0,0,0,0,0,0,0,0,0,0,669417088.5
0,0,0,0,0,0,0,0,0,0,86409939.47
0,0,0,0,0,0,0,0,0,0,8455002.192
0,0,0,0,0,0,0,0,0,0,10802897.81
0,0,0,0,0,0,0,0,0,0,10323748.41
0,0,0,0,0,0,0,0,0,0,9408921.969
0,0,0,0,0,0,0,0,0,0,10454447.99
0,0,0,0,0,0,0,0,0,0,11412676.16
0,0,0,0,0,0,0,0,0,0,423333543.2
0,0,0,0,0,0,0,0,0,0,994749818.2
0,0,0,0,0,0,0,0,0,0,835032245.7
0,12755410.42,3672.725339,17939.85069,254089.0271,0,0,210438086.1,0,0,688994056.5
0,0,0,0,0,0,0,0,0,0,577231082.1
0,0,0,0,0,0,0,0,0,0,206456463.3
0,0,0,0,0,0,0,0,0,0,84626760.69
0,0,0,0,0,0,0,0,0,0,10933597.39
0,0,0,0,0,0,0,0,0,0,10672198.23
0,0,0,0,0,0,0,0,0,0,9452535.583
0,0,0,0,0,0,0,0,0,0,10497990.98
0,0,0,0,0,0,0,0,0,0,11064438.23
0,0,0,0,0,0,0,0,0,0,19967972
0,60349092.7,3672.725339,12677.96535,254089.0271,0,0,281603248.9,0,0,32369352.89
0,1307353765,3672.725339,26062.22404,254089.0271,0,0,299710667.7,0,0,225383570.8
0,1303577108,3672.725339,18010.48003,254089.0271,0,0,137751814.5,0,0,553576576.7
0,1014204350,3672.725339,7522.024012,254089.0271,0,0,21771492.03,0,0,727277839.1
0,889656477.7,0,0,0,0,0,0,0,0,288523511
0,0,0,0,0,0,0,0,0,0,6262279.22
0,0,0,0,0,0,0,0,0,0,11064261.66
0,0,0,0,0,0,0,0,0,0,10323783.73
0,0,0,0,0,0,0,0,0,0,9496113.881
0,0,0,0,0,0,0,0,0,0,10323819.04
0,0,0,0,0,0,0,0,0,0,11238680.8
0,0,0,0,0,0,0,0,0,0,19968007.32
0,0,0,0,0,0,0,0,0,0,245682653.2
0,0,0,0,0,0,0,0,0,0,205013682.6
0,1209216319,3672.725339,18010.48003,254089.0271,0,0,391233005.6,0,0,488182466
0,1139571417,3672.725339,7522.024012,254089.0271,0,0,91797191.88,0,0,591327072.6
0,0,0,0,0,0,0,0,0,0,294317023.4
0,0,0,0,0,0,0,0,0,0,6262279.22
0,0,0,0,0,0,0,0,0,0,11020718.67
0,0,0,0,0,0,0,0,0,0,10497990.98
0,0,0,0,0,0,0,0,0,0,9583235.164
0,0,0,0,0,0,0,0,0,0,10498026.29
0,0,0,0,0,0,0,0,0,0,11108157.79
0,0,0,0,0,0,0,0,0,0,20142391.14
0,0,0,0,0,0,0,0,0,0,32635272.33
0,193529176.4,3672.725339,26026.90937,254089.0271,0,0,264421710.1,0,0,206130155.8
0,1275290060,3672.725339,18010.48003,254089.0271,0,0,272560822.6,0,0,602957675.5
0,1550634138,3672.725339,7522.024012,254089.0271,0,0,234256345.5,0,0,735341413.5
0,0,0,0,0,0,0,0,0,0,266220851.1
0,0,0,0,0,0,0,0,0,0,6262208.591
0,0,0,0,0,0,0,0,0,0,11194925.92
0,0,0,0,0,0,0,0,0,0,10541533.96
0,0,0,0,0,0,0,0,0,0,9539656.865
0,0,0,0,0,0,0,0,0,0,10628655.24
0,0,0,0,0,0,0,0,0,0,11282047.21
0,0,0,0,0,0,0,0,0,0,20329982.65
0,0,0,0,0,0,0,0,0,0,32502453.87
0,0,0,0,0,0,0,0,0,0,479377848.7
0,0,0,0,0,0,0,0,0,0,844628511.9
0,0,0,0,0,0,0,0,0,0,675092967.6
0,0,0,0,0,0,0,0,0,0,224333524.5
0,0,0,0,0,0,0,0,0,0,35883162.23
0,0,0,0,0,0,0,0,0,0,11064261.66
0,0,0,0,0,0,0,0,0,0,10323783.73
0,0,0,0,0,0,0,0,0,0,9452535.583
0,0,0,0,0,0,0,0,0,0,10672233.54
0,0,0,0,0,0,0,0,0,0,11108087.16
0,0,0,0,0,0,0,0,0,0,20011832.82
0,0,0,0,0,0,0,0,0,0,32330082.98
0,0,0,0,0,0,0,0,0,0,228781230.2
0,397296816.3,3672.725339,17975.16536,254089.0271,0,0,403203618.1,0,0,316114966.1
0,1508892202,3672.725339,7522.024012,254089.0271,0,0,102706845.9,0,0,702490262.7
0,0,0,0,0,0,0,0,0,0,6777414.264
0,0,0,0,0,0,0,0,0,0,6015676.903
0,0,0,0,0,0,0,0,0,0,10802933.12
0,0,0,0,0,0,0,0,0,0,10454377.36
0,0,0,0,0,0,0,0,0,0,9278363.646
0,0,0,0,0,0,0,0,0,0,10280276.06
0,0,0,0,0,0,0,0,0,0,11151382.94
0,0,0,0,0,0,0,0,0,0,20028854.49
0,0,0,0,0,0,0,0,0,0,32460959.13
0,0,0,0,0,0,0,0,0,0,50945856.39
0,0,0,0,0,0,0,0,0,0,253127020.2
0,0,0,0,0,0,0,0,0,0,32548045.1
0,0,0,0,0,0,0,0,0,0,6825830.672
0,0,0,0,0,0,0,0,0,0,5841434.337
0,0,0,0,0,0,0,0,0,0,11064402.92
0,0,0,0,0,0,0,0,0,0,10585112.26
0,0,0,0,0,0,0,0,0,0,9408992.599
0,0,0,0,0,0,0,0,0,0,10367291.39
0,0,0,0,0,0,0,0,0,0,11282365.04
0,0,0,0,0,0,0,0,0,0,20330653.63
0,0,0,0,0,0,0,0,0,0,32299853.62
0,0,0,0,0,0,0,0,0,0,243543891
0,0,0,0,0,0,0,0,0,0,234406503.5
0,0,0,0,0,0,0,0,0,0,274009500.8
0,0,0,0,0,0,0,0,0,0,6760533.853
0,0,0,0,0,0,0,0,0,0,5845778.041
0,0,0,0,0,0,0,0,0,0,10933562.08
0,0,0,0,0,0,0,0,0,0,10280240.74
0,0,0,0,0,0,0,0,0,0,9583164.535
0,0,0,0,0,0,0,0,0,0,10541569.28
0,0,0,0,0,0,0,0,0,0,11064367.6
0,0,0,0,0,0,0,0,0,0,20156552.32
0,0,0,0,0,0,0,0,0,0,32244974.63
0,0,0,0,0,0,0,0,0,0,220204321.8
0,0,0,0,0,0,0,0,0,0,749275486.3
0,0,0,0,0,0,0,0,0,0,723801710.5
0,0,0,0,0,0,0,0,0,0,6738709.389
0,0,0,0,0,0,0,0,0,0,6146341.17
0,0,0,0,0,0,0,0,0,0,10890054.41
0,0,0,0,0,0,0,0,0,0,10323783.73
0,0,0,0,0,0,0,0,0,0,9278540.22
0,0,0,0,0,0,0,0,0,0,10410869.69
0,0,0,0,0,0,0,0,0,0,11064367.6
0,0,0,0,0,0,0,0,0,0,20298976.38
0,0,0,0,0,0,0,0,0,0,32517603.86
0,0,0,0,0,0,0,0,0,0,220457104.2
0,0,0,0,0,0,0,0,0,0,581133423.4
0,0,0,0,0,0,0,0,0,0,733349807.6
0,0,0,0,0,0,0,0,0,0,6716990.869
0,0,0,0,0,0,0,0,0,0,5932899.324
0,0,0,0,0,0,0,0,0,0,10933562.08
0,0,0,0,0,0,0,0,0,0,10410869.69
0,0,0,0,0,0,0,0,0,0,9321871.316
0,0,0,0,0,0,0,0,0,0,10672198.23
0,0,0,0,0,0,0,0,0,0,11064296.97
0,0,0,0,0,0,0,0,0,0,19941556.63
0,0,0,0,0,0,0,0,0,0,261342271.1
0,0,0,0,0,0,0,0,0,0,503143913.1
0,0,0,0,0,0,0,0,0,0,943109393
0,0,0,0,0,0,0,0,0,0,907633691.4
0,0,0,0,0,0,0,0,0,0,340403475.7
0,0,0,0,0,0,0,0,0,0,6175157.938
0,0,0,0,0,0,0,0,0,0,11151347.63
0,0,0,0,0,0,0,0,0,0,10541533.96
0,0,0,0,0,0,0,0,0,0,9452535.583
0,0,0,0,0,0,0,0,0,0,10585112.26
0,0,0,0,0,0,0,0,0,0,11456289.77
0,0,0,0,0,0,0,0,0,0,20183108.95
0,0,0,0,0,0,0,0,0,0,1226344850
0,0,0,0,0,0,0,0,0,0,1170718706
0,0,0,0,0,0,0,0,0,0,1010635697
0,0,0,0,0,0,0,0,0,0,561070313.7
0,0,0,0,0,0,0,0,0,0,6864535.547
0,0,0,0,0,0,0,0,0,0,16106878.23
0,0,0,0,0,0,0,0,0,0,11194925.92
0,0,0,0,0,0,0,0,0,0,10585112.26
0,0,0,0,0,0,0,0,0,0,9496113.881
0,0,0,0,0,0,0,0,0,0,10323783.73
0,0,0,0,0,0,0,0,0,0,11151453.57
0,0,0,0,0,0,0,0,0,0,20142179.26
0,0,0,0,0,0,0,0,0,0,235637784.7
0,685285910.5,3672.725339,26062.22404,254089.0271,0,0,238025091.5,0,0,460111296.6
0,1123436993,3672.725339,18010.48003,254089.0271,0,0,194037072,0,0,968426053.8
0,1426361826,3672.725339,7522.024012,254089.0271,0,0,64738564.52,0,0,483820998.8
0,0,0,0,0,0,0,0,0,0,201621320.4
0,0,0,0,0,0,0,0,0,0,58316557.06
0,0,0,0,0,0,0,0,0,0,11194925.92
0,0,0,0,0,0,0,0,0,0,10628655.24
0,0,0,0,0,0,0,0,0,0,9583199.85
0,0,0,0,0,0,0,0,0,0,10628655.24
0,0,0,0,0,0,0,0,0,0,11308215.37
0,0,0,0,0,0,0,0,0,0,423621039.9
0,0,0,0,0,0,0,0,0,0,287578278.7
0,96625730.94,3672.725339,26026.90937,254089.0271,0,0,197543429.9,0,0,635440317.9
0,872773489.1,3672.725339,17975.16536,254089.0271,0,0,190662119.9,0,0,909750735
0,1623947386,3672.725339,7522.024012,254089.0271,0,0,148483164.8,0,0,758205470.7
0,200490756.7,3602.096006,0,254089.0271,0,0,1869487.827,0,0,161371888.1
0,0,0,0,0,0,0,0,0,0,57968036.61
0,0,0,0,0,0,0,0,0,0,11107804.64
0,0,0,0,0,0,0,0,0,0,10454412.68
0,0,0,0,0,0,0,0,0,0,9539656.865
0,0,0,0,0,0,0,0,0,0,10628655.24
0,0,0,0,0,0,0,0,0,0,11352817.8
0,0,0,0,0,0,0,0,0,0,20130384.16
0,391247519.9,3672.725339,12677.96535,254089.0271,0,0,184723252.4,0,0,32546067.48
0,1179795917,3672.725339,26062.22404,254089.0271,0,0,252186202.2,0,0,241342833.8
0,1079788065,3672.725339,18010.48003,254089.0271,0,0,217131698.6,0,0,286281806.6
0,1662616946,3672.725339,7522.024012,254089.0271,0,0,36145232.37,0,0,582179479.1
0,314168668.9,0,0,0,0,0,0,0,0,256898979.8
0,0,0,0,0,0,0,0,0,0,6088071.969
0,0,0,0,0,0,0,0,0,0,11020683.36
0,0,0,0,0,0,0,0,0,0,10454412.68
0,0,0,0,0,0,0,0,0,0,9583199.85
0,0,0,0,0,0,0,0,0,0,10672233.54
0,0,0,0,0,0,0,0,0,0,11297868.18
0,0,0,0,0,0,0,0,0,0,478724456.7
0,0,0,0,0,0,0,0,0,0,827248080.9
0,0,0,0,0,0,0,0,0,0,820347630.3
0,1256333359,3672.725339,18010.48003,254089.0271,0,0,199000795.6,0,0,842145608.4
0,1176122097,3672.725339,7486.709345,254089.0271,0,0,104612319.4,0,0,471319253.6
0,834389024.3,0,0,0,0,0,0,0,0,54649870.53
0,0,0,0,0,0,0,0,0,0,18502660.54
0,0,0,0,0,0,0,0,0,0,11151347.63
0,0,0,0,0,0,0,0,0,0,10323783.73
0,0,0,0,0,0,0,0,0,0,9539656.865
0,0,0,0,0,0,0,0,0,0,10410905.01
0,0,0,0,0,0,0,0,0,0,11194925.92
0,0,0,0,0,0,0,0,0,0,20049407.63
0,807254293.9,3672.725339,12713.28002,254089.0271,0,0,186528856,0,0,32260866.23
96149265.46,2039628100,3672.725339,26132.85337,254089.0271,0,0,150005156.3,0,0,262714599.1
0,1470050447,3672.725339,18010.48003,254089.0271,0,0,131278071.1,0,0,334192367.4
608339277.6,2274164561,3672.725339,7592.653345,254089.0271,0,0,78220750.77,0,0,610592318
0,1295845774,0,0,14655.58669,0,0,0,0,0,176312958.6
0,0,0,0,0,0,0,0,0,0,6131650.268
0,0,0,0,0,0,0,0,0,0,11107804.64
0,0,0,0,0,0,0,0,0,0,10672233.54
0,0,0,0,0,0,0,0,0,0,9626813.463
0,0,0,0,0,0,0,0,0,0,10585112.26
0,0,0,0,0,0,0,0,0,0,11151382.94
0,0,0,0,0,0,0,0,0,0,20098600.96
0,0,0,0,0,0,0,0,0,0,307470465.4
0,0,0,0,0,0,0,0,0,0,249280829.2
0,392635280.3,3672.725339,17975.16536,254089.0271,0,0,160096604.9,0,0,283276175.3
0,1131978764,3672.725339,7486.709345,254089.0271,0,0,112288421.3,0,0,700401329.5
0,0,0,0,0,0,0,0,0,0,169517639.8
0,0,0,0,0,0,0,0,0,0,27432468.42
0,0,0,0,0,0,0,0,0,0,11064261.66
